2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Dragon 32/64 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=MEK6800D2 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Newbear 77/68 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,862 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Commodore PET | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Commodore 64 | introduced=1982-08-01 | discontinued=1994-01-01 | companyId=Commodore International
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Commodore 64C | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Commodore SX-64 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Commodore 128 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Apple I | introduced=1976-04-01 | discontinued=1977-10-01 | companyId=Apple Inc.
2018-03-27 14:14:05,863 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=KIM-1 | introduced=1975-01-01 | discontinued=null | companyId=MOS Technology
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Altair 8800 | introduced=1974-12-19 | discontinued=null | companyId=Micro Instrumentation and Telemetry Systems
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=IMSAI 8080 | introduced=1975-08-01 | discontinued=null | companyId=IMS Associates, Inc.
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=IMSAI Series Two | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=VAX | introduced=1977-10-25 | discontinued=null | companyId=Digital Equipment Corporation
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=VAX 11/780 | introduced=1977-10-25 | discontinued=null | companyId=Digital Equipment Corporation
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=VAX 11/750 | introduced=1980-10-01 | discontinued=null | companyId=Digital Equipment Corporation
2018-03-27 14:14:05,864 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=TX-2 | introduced=null | discontinued=null | companyId=Lincoln Laboratory
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=TX-0 | introduced=null | discontinued=null | companyId=Lincoln Laboratory
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Whirlwind | introduced=null | discontinued=null | companyId=Lincoln Laboratory
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=ENIAC | introduced=null | discontinued=null | companyId=Moore School of Electrical Engineering
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=IBM PC | introduced=1981-08-12 | discontinued=null | companyId=IBM
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Classic | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh Classic II | introduced=1991-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga | introduced=1985-01-01 | discontinued=null | companyId=Amiga Corporation
2018-03-27 14:14:05,865 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 1000 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 500 | introduced=1987-01-01 | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 500+ | introduced=null | discontinued=null | companyId=null
